path,kind,size_bytes,line_count,sha256
src/IdeaCadConnector.Core/Library/PartLibraryCadFileInfo.cs,text,607,28,f598bcef7765065a
src/IdeaCadConnector.Core/Library/PartLibraryContracts.cs,text,17385,491,8dba6917a84632ad
src/IdeaCadConnector.Core/Library/PartLibrarySchemaNames.cs,text,1439,30,cc2720ea8da1ffc9
src/IdeaCadConnector.Core/Library/PartLifecyclePolicy.cs,text,1116,40,debf6690939ba2f6
src/IdeaCadConnector.Core/Library/VaultCacheKey.cs,text,2418,65,eece25712f1fc810
src/IdeaCadConnector.Core/Library/VaultDownloadResult.cs,text,571,26,811ac421e5a5f26e
src/IdeaCadConnector.Core/Library/VaultFileValidator.cs,text,2075,66,25ae8574f4e5927f
src/IdeaCadConnector.Core/Localization/ILocalizationService.cs,text,422,16,72beb896509e8b08
src/IdeaCadConnector.Core/Localization/LanguageOption.cs,text,196,9,ece9c72cfdfae9f4
src/IdeaCadConnector.Core/Localization/LifecycleDisplayText.cs,text,8287,204,a15bdfe51ac3e4f3
src/IdeaCadConnector.Core/Localization/LocalizationSource.cs,text,669,25,eca7f21794ded613
src/IdeaCadConnector.Core/Localization/TranslationKeys.cs,text,71527,966,5897d03183f38fcb
src/IdeaCadConnector.Core/Localization/TranslationResources.cs,text,218990,2538,d773aee56b3c7f0d
src/IdeaCadConnector.Core/Validation/CadFileNamingRules.cs,text,988,26,21504e58b4d90d7c
src/IdeaCadConnector.Desktop/App.xaml,text,6231,120,8ccc44bc718608c6
src/IdeaCadConnector.Desktop/App.xaml.cs,text,2063,63,290783ed81fe26c9
src/IdeaCadConnector.Desktop/CheckoutService.cs,text,6690,198,693410aa4f445060
src/IdeaCadConnector.Desktop/Dialogs/AddLibraryPartToProjectDialog.xaml,text,20586,359,cbff3ad14500fbf1
src/IdeaCadConnector.Desktop/Dialogs/AddLibraryPartToProjectDialog.xaml.cs,text,468,20,1cb847eee4232a2d
src/IdeaCadConnector.Desktop/Dialogs/ArasPartPickerDialog.xaml,text,24853,329,0d5ddb83bfd1ab93
src/IdeaCadConnector.Desktop/Dialogs/ArasPartPickerDialog.xaml.cs,text,597,26,20c7c619b3992076
src/IdeaCadConnector.Desktop/Dialogs/ArasPartPickerViewModel.cs,text,18571,551,a4f887dc8399b7b1
src/IdeaCadConnector.Desktop/Dialogs/CreateLibraryDialog.xaml,text,11727,219,dd19378ae105e559
src/IdeaCadConnector.Desktop/Dialogs/CreateLibraryDialog.xaml.cs,text,599,26,0283dc6ccb8456e2
src/IdeaCadConnector.Desktop/Dialogs/CreateLibraryDialogViewModel.cs,text,6666,208,0b3985282d9655b7
src/IdeaCadConnector.Desktop/Dialogs/EditLibraryDialog.xaml,text,10372,157,71f60fea83e88efa
src/IdeaCadConnector.Desktop/Dialogs/EditLibraryDialog.xaml.cs,text,591,26,165acdf001b70ff8
src/IdeaCadConnector.Desktop/Dialogs/EditLibraryDialogViewModel.cs,text,7432,222,ab419a3fc33f827c
src/IdeaCadConnector.Desktop/Dialogs/MoveLibraryEntryDialog.xaml,text,8144,131,a58620c9454d33b4
src/IdeaCadConnector.Desktop/Dialogs/MoveLibraryEntryDialog.xaml.cs,text,611,26,374ab5e1ef8f485e
src/IdeaCadConnector.Desktop/Dialogs/MoveLibraryEntryDialogViewModel.cs,text,7935,224,0c2bac00744605c9
src/IdeaCadConnector.Desktop/Dialogs/PartRevisionBrowserDialog.xaml,text,11243,155,d269c710b2c591ee
src/IdeaCadConnector.Desktop/Dialogs/PartRevisionBrowserDialog.xaml.cs,text,617,26,97cfb0d6ba446556
src/IdeaCadConnector.Desktop/Dialogs/PartRevisionBrowserViewModel.cs,text,11421,348,d294c717c9d9fa7e
src/IdeaCadConnector.Desktop/Dialogs/PublishLibraryEntryDialog.xaml,text,19717,336,3e6aa0fe80023cb6
src/IdeaCadConnector.Desktop/Dialogs/PublishLibraryEntryDialog.xaml.cs,text,460,20,4041aa50c14df10e
src/IdeaCadConnector.Desktop/Dialogs/SaveToLibraryDialog.xaml,text,16152,297,a70c1656004793e8
src/IdeaCadConnector.Desktop/Dialogs/SaveToLibraryDialog.xaml.cs,text,609,26,94377f284b3ad453
src/IdeaCadConnector.Desktop/Dialogs/SaveToLibraryDialogViewModel.cs,text,10282,305,a5cf1fd64c65d215
src/IdeaCadConnector.Desktop/GuidanceRevisionService.cs,text,3313,90,5d686417619981f4
src/IdeaCadConnector.Desktop/IdeaCadConnector.Desktop.csproj,text,2389,57,f34654e2f3a2608b
src/IdeaCadConnector.Desktop/IdeaCadConnector.environment.template.json,text,770,26,b543b5020a48c63f
src/IdeaCadConnector.Desktop/IronCadExternalAdapter.cs,text,4394,112,cba78708c384d30e
src/IdeaCadConnector.Desktop/LibraryView.xaml,text,82435,1072,2b2c0b1da8a7a453
src/IdeaCadConnector.Desktop/LibraryView.xaml.cs,text,323,15,f812cd8fba02ba6f
src/IdeaCadConnector.Desktop/LibraryViewModel.Contract.cs,text,8298,208,e3548e4e27e8b119
src/IdeaCadConnector.Desktop/LibraryViewModel.cs,text,128312,2849,7bd28672365979a1
src/IdeaCadConnector.Desktop/MainViewModel.cs,text,66090,1534,97afb86cfaca5478
src/IdeaCadConnector.Desktop/MainWindow.xaml,text,77293,1408,ddc7ac3d91ff487d
src/IdeaCadConnector.Desktop/MainWindow.xaml.cs,text,8809,208,879219a0015e3640
src/IdeaCadConnector.Desktop/PdmProjectsView.xaml,text,82669,1487,e4f712ad9d6273be
src/IdeaCadConnector.Desktop/PdmProjectsView.xaml.cs,text,6483,160,2807bd5abf41d40f
src/IdeaCadConnector.Desktop/PdmProjectsViewModel.cs,text,178115,4195,81e28d86d2fefe71
src/IdeaCadConnector.Desktop/Properties/AssemblyInfo.cs,text,429,4,6bb0ba3a44e82f7a
src/IdeaCadConnector.Desktop/RelayCommand.cs,text,1188,42,4234c8e77900513d
src/IdeaCadConnector.Desktop/SaveToLibraryWorkflow.cs,text,2198,71,f2720f7803056b55
src/IdeaCadConnector.Desktop/Services/AppSessionContext.cs,text,2300,72,16a2249174717624
src/IdeaCadConnector.Desktop/Services/ArasOpenUrlService.cs,text,4120,115,0dba581fc638cc7b
src/IdeaCadConnector.Desktop/Services/BrowserLauncher.cs,text,1784,59,bb9c3bd16427991a
src/IdeaCadConnector.Desktop/Services/IronCadOpenService.cs,text,4843,135,1c9c9f3cd8ed2b07
src/IdeaCadConnector.Desktop/Services/LibraryAuthorizationService.cs,text,2259,76,96ef75c425639c14
src/IdeaCadConnector.Desktop/Services/LibraryServicesFactory.cs,text,6099,146,8009703ab2cbc376
src/IdeaCadConnector.Desktop/Services/LocalizationService.cs,text,1496,53,e6ec06b9984246e9
src/IdeaCadConnector.Desktop/Services/PartLibraryVaultService.cs,text,12534,321,ff8c51496a7ec44c
src/IdeaCadConnector.Desktop/Services/SettingsService.cs,text,1089,43,1765cfe92ef60a61
src/IdeaCadConnector.Desktop/app.manifest,text,705,18,03915fe43b8ebe36
src/IdeaCadConnector.Desktop/pdm-naming-policy.json,text,482,11,0648aeded37b622d
src/IdeaCadConnector.IronCAD/EmbedManifest.ps1,text,1977,49,abf8416429839634
src/IdeaCadConnector.IronCAD/IdeaCadConnector.IronCAD.csproj,text,7456,107,0fbd6a84c2a407d6
src/IdeaCadConnector.IronCAD/IdeaCadConnector.IronCAD.dll.manifest,text,575,7,9d5810d6702a59f6
src/IdeaCadConnector.IronCAD/IdeaCadConnector.IronCAD.reg,text,433,12,e12dcfc58bf8d371
src/IdeaCadConnector.IronCAD/IronCadAddin.cs,text,21500,533,01051ca9937282e1
src/IdeaCadConnector.IronCAD/IronCadCadAdapter.cs,text,7816,231,f887eafed2289900
src/IdeaCadConnector.IronCAD/Properties/AssemblyInfo.cs,text,649,18,4bcb901bf5eb8748
src/IdeaCadConnector.OcrTool/IdeaCadConnector.OcrTool.csproj,text,790,20,e883af5417588929
src/IdeaCadConnector.OcrTool/Program.cs,text,2091,68,8ffd9f5b17c73103
src/IdeaCadConnector.Ui/IdeaCadConnector.Ui.csproj,text,440,12,2be153829aef8b4e
src/IdeaCadConnector.Ui/ViewModels/LoginViewModel.cs,text,11201,356,ebfef12985080d05
src/IdeaCadConnector.Ui/Views/LoginDialog.xaml,text,7032,102,58a2a29a22ded92d
src/IdeaCadConnector.Ui/Views/LoginDialog.xaml.cs,text,7537,233,760625643b85d4f7
src/IdeaCadConnector.Workspace/IdeaCadConnector.Workspace.csproj,text,370,12,960009f270e6663b
src/IdeaCadConnector.Workspace/PdmNamingPolicy.cs,text,21670,564,dcb22f6099cf2067
src/IdeaCadConnector.Workspace/PdmPushContracts.cs,text,6541,174,1b4ca6ee361c17b9
src/IdeaCadConnector.Workspace/PdmPushPreviewBuilder.cs,text,12986,323,e30efa3fcf1b07e3
src/IdeaCadConnector.Workspace/PushPreviewMapper.cs,text,17336,431,6d8c963c75536ddc
src/IdeaCadConnector.Workspace/WorkspaceCommit.cs,text,2047,50,c3d2c52c8431c547
src/IdeaCadConnector.Workspace/WorkspaceLibraryReference.cs,text,804,23,0244b34abe72a53e
src/IdeaCadConnector.Workspace/WorkspaceLibraryReferenceStore.cs,text,4642,127,c7881b8b9c808ad5
src/IdeaCadConnector.Workspace/WorkspaceManifest.cs,text,788,23,a312c81bb24b1b77
src/IdeaCadConnector.Workspace/WorkspaceOptions.cs,text,251,12,10add84a014ef280
src/IdeaCadConnector.Workspace/WorkspaceService.cs,text,8686,234,5665fbacfc38e540
tests/IdeaCadConnector.Tests/ArasOpenUrlServiceTests.cs,text,9658,283,0cf20d30360732f7
tests/IdeaCadConnector.Tests/ArasPartPickerViewModelTests.cs,text,18409,406,af575aedbec58d25
tests/IdeaCadConnector.Tests/BrowserLauncherTests.cs,text,1995,60,91c697d9b4bbef50
tests/IdeaCadConnector.Tests/EnvironmentConfigurationTests.cs,text,10339,272,4e7a6a39385b06ae
tests/IdeaCadConnector.Tests/FakeArasAmlClient.cs,text,7677,187,282bc020d95f18f3
tests/IdeaCadConnector.Tests/IdeaCadConnector.Tests.csproj,text,1138,31,a7486b9afa2c599a
tests/IdeaCadConnector.Tests/IronCadOpenServiceTests.cs,text,11951,329,560f0d4216ae3fe1
tests/IdeaCadConnector.Tests/LibraryAuthorizationServiceTests.cs,text,5116,116,782702beb13b82e4
tests/IdeaCadConnector.Tests/LibraryLocalizationTests.cs,text,2544,72,6763fa3293a90d6f
tests/IdeaCadConnector.Tests/LibraryManagementUiTests.cs,text,32821,671,4e734b28ea67b455
tests/IdeaCadConnector.Tests/LibraryViewModelTests.cs,text,57949,1262,cfa372a64e2a0046
tests/IdeaCadConnector.Tests/MoveLibraryEntryViewModelTests.cs,text,16780,346,9e520bb59b0454a9
tests/IdeaCadConnector.Tests/PartLibraryStage1Tests.cs,text,74277,1562,b9c74c12d6761a1f
tests/IdeaCadConnector.Tests/PartLibraryStage2CoreTests.cs,text,17819,398,5570432146a98691
tests/IdeaCadConnector.Tests/PartLibraryStage2Tests.cs,text,90327,1990,4a4f1ed2bf4c3b66
tests/IdeaCadConnector.Tests/PartLibraryTests.cs,text,29356,722,870dd12b94537f50
tests/IdeaCadConnector.Tests/PartLibraryVaultServiceTests.cs,text,32437,749,3bf3107dac8915e2
tests/IdeaCadConnector.Tests/PartRevisionBrowserViewModelTests.cs,text,20396,453,20ccbd20be87c8ed
tools/CreateIronCadTestFiles/CreateIronCadTestFiles.csproj,text,470,15,6e5a26856d09cc47
tools/CreateIronCadTestFiles/Program.cs,text,9791,259,07727044906061b1
tools/New-IronCadProject.ps1,text,16948,432,3180162eaabf51f7
tools/read-screenshot.ps1,text,2140,59,0e290c205107d773
tools/release/package-release.ps1,text,8098,165,aab87b16d53509fd
tools/release/validate-release-package.ps1,text,8350,219,e7973a5f4de9ee3c
tools/release/verify-release-readiness.ps1,text,3621,115,85257fed4a959f13
ICApiAddin.snk,binary/non-text,596,,bb5d879fd683f47d
docs/part-library/references/mockups/01_Library_Main.png,binary/non-text,303000,,6432407b4256bed4
docs/part-library/references/mockups/02_Save_To_Library_Dialog.png,binary/non-text,185166,,a2913e76b99a231a
docs/part-library/references/mockups/03_Add_To_Project_Dialog.png,binary/non-text,199415,,408a506feecba4a9
docs/part-library/references/mockups/04_Publish_And_Revision_Dialog.png,binary/non-text,183511,,5bb82fd952dc2b5d
src/IdeaCadConnector.IronCAD/ICApiAddin.snk,binary/non-text,596,,bb5d879fd683f47d
tools/CreateIronCadTestFiles/lib/Interop.ICApiIronCAD.dll,binary/non-text,933888,,6a99e6a6ba5fa638
